length,time
0,0.0
200,0.0
400,0.0
600,0.001003265380859375
800,0.0019981861114501953
1000,0.0019998550415039062
1200,0.002001047134399414
1400,0.0019998550415039062
1600,0.004016876220703125
1800,0.0039789676666259766
2000,0.003999948501586914
2200,0.004001617431640625
2400,0.006998300552368164
2600,0.005001068115234375
2800,0.004999637603759766
3000,0.006000518798828125
3200,0.006000518798828125
3400,0.0070002079010009766
3600,0.007999181747436523
3800,0.00900411605834961
4000,0.009026765823364258
4200,0.008968353271484375
4400,0.00899958610534668
4600,0.009000062942504883
4800,0.010000467300415039
5000,0.011001348495483398
5200,0.010998010635375977
5400,0.012000799179077148
5600,0.011002540588378906
5800,0.011999368667602539
6000,0.012031793594360352
6200,0.014000177383422852
6400,0.013967275619506836
6600,0.015004158020019531
6800,0.015996456146240234
7000,0.014997720718383789
7200,0.019036531448364258
7400,0.015962839126586914
7600,0.016000747680664062
7800,0.01699995994567871
8000,0.019010066986083984
8200,0.019025802612304688
8400,0.019966602325439453
8600,0.0189969539642334
8800,0.020000219345092773
9000,0.022003889083862305
9200,0.021996021270751953
9400,0.022002696990966797
9600,0.024000167846679688
9800,0.024997949600219727
10000,0.021999359130859375
10200,0.024001121520996094
10400,0.025000333786010742
10600,0.02400040626525879
10800,0.024998188018798828
11000,0.031000614166259766
11200,0.026000499725341797
11400,0.0279996395111084
11600,0.029999971389770508
11800,0.03399920463562012
12000,0.03600025177001953
12200,0.03399991989135742
12400,0.031000137329101562
12600,0.031032085418701172
12800,0.03296852111816406
13000,0.03099989891052246
13200,0.03300023078918457
13400,0.033998966217041016
13600,0.03399991989135742
13800,0.04400062561035156
14000,0.04499959945678711
14200,0.03399991989135742
14400,0.04900097846984863
14600,0.04899930953979492
14800,0.037000179290771484
15000,0.04200410842895508
15200,0.03899502754211426
15400,0.04000091552734375
15600,0.047998666763305664
15800,0.04200387001037598
16000,0.03799724578857422
16200,0.043000221252441406
16400,0.03999900817871094
16600,0.04300045967102051
16800,0.04500102996826172
17000,0.04399919509887695
17200,0.052005767822265625
17400,0.04399514198303223
17600,0.04599952697753906
17800,0.044000864028930664
18000,0.04601621627807617
18200,0.047981977462768555
18400,0.05700182914733887
18600,0.04999804496765137
18800,0.04700040817260742
